date,family,unit_sales,promo_count,transactions,oil_price,is_holiday,holiday_count,day_of_week,month,week_of_year,day_of_month,quarter,dow_sin,dow_cos,month_sin,month_cos,time_index,lag_1,lag_7,lag_14,lag_28,lag_56,target,rolling_mean_7,rolling_mean_14,rolling_mean_28,rolling_std_7,rolling_std_14,promo_lag_1,promo_lag_7,lag_diff_1
2013-02-26,BEVERAGES,41366.0,0,68706,92.63,0.0,0.0,1,2,9,26,1,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,56,48718.0,43284.0,47483.0,40592.0,810.0,-7352.0,53402.71428571428,54335.142857142855,53844.28571428572,14013.660022923896,13486.619447877523,0.0,0.0,5434.0
2013-02-27,BEVERAGES,44791.0,0,70170,92.84,0.0,0.0,2,2,9,27,1,0.9749279121818236,-0.2225209339563143,0.8660254037844386,0.5000000000000001,57,41366.0,47312.0,46575.0,44583.0,72092.0,3425.0,53128.71428571428,53898.21428571428,53871.92857142857,14261.04591435806,13820.636371737022,0.0,0.0,-5946.0
2013-02-28,BEVERAGES,42710.0,0,69818,92.03,0.0,0.0,3,2,9,28,1,0.4338837391175582,-0.900968867902419,0.8660254037844386,0.5000000000000001,58,44791.0,41292.0,41366.0,43078.0,52105.0,-2081.0,52768.57142857143,53770.78571428572,53879.357142857145,14462.825782641778,13901.340329282984,0.0,0.0,3499.0
2013-03-01,BEVERAGES,56760.0,0,79524,90.71,0.0,0.0,4,3,9,1,1,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,59,42710.0,46619.0,51659.0,56866.0,54167.0,14050.0,52971.142857142855,53866.78571428572,53866.21428571428,14284.116463500894,13813.448481481715,0.0,0.0,-3909.0
2013-03-02,BEVERAGES,86736.0,0,98616,90.51666666666668,1.0,1.0,5,3,9,2,1,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,60,56760.0,69259.0,81385.0,79804.0,77818.0,29976.0,54419.857142857145,54231.142857142855,53862.42857142857,14044.751136143015,13818.00790416479,0.0,0.0,-12499.0
2013-03-03,BEVERAGES,87516.0,0,92716,90.32333333333332,0.0,0.0,6,3,9,3,1,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,61,86736.0,77335.0,66902.0,72329.0,86184.0,780.0,56916.57142857143,54613.357142857145,54110.0,18092.48490264345,14674.347065055892,0.0,0.0,9401.0
2013-03-04,BEVERAGES,55912.0,0,79078,90.13,0.0,0.0,0,3,10,4,1,0.0,1.0,1.0,6.123233995736766e-17,62,87516.0,48718.0,51503.0,44528.0,51619.0,-31604.0,58371.0,56085.78571428572,54652.392857142855,20283.95641058881,16871.903190163284,0.0,0.0,38798.0
2013-03-05,BEVERAGES,51642.0,0,75134,90.88,0.0,0.0,1,3,10,5,1,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,63,55912.0,41366.0,43284.0,42741.0,46941.0,-4270.0,59398.71428571428,56400.71428571428,55058.96428571428,19891.816665103648,16820.853085603976,0.0,0.0,14546.0
2013-03-06,BEVERAGES,50242.0,0,76519,90.47,0.0,0.0,2,3,10,6,1,0.9749279121818236,-0.2225209339563143,1.0,6.123233995736766e-17,64,51642.0,44791.0,47312.0,46479.0,47910.0,-1400.0,60866.71428571428,56997.71428571428,55376.857142857145,18681.581327734595,16464.04409348105,0.0,0.0,6851.0
2013-03-07,BEVERAGES,46922.0,0,73910,91.53,0.0,0.0,3,3,10,7,1,0.4338837391175582,-0.900968867902419,1.0,6.123233995736766e-17,65,50242.0,42710.0,41292.0,46000.0,42390.0,-3320.0,61645.42857142857,57207.0,55511.25,18001.01884947204,16349.676849311838,0.0,0.0,7532.0
2013-03-08,BEVERAGES,51941.0,0,78231,92.01,0.0,0.0,4,3,10,8,1,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,66,46922.0,56760.0,46619.0,62111.0,50793.0,5019.0,62247.142857142855,57609.142857142855,55544.17857142857,17320.096953429285,15993.472384104063,0.0,0.0,-9838.0
2013-03-09,BEVERAGES,78980.0,0,92462,92.03,0.0,0.0,5,3,10,9,1,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,67,51941.0,86736.0,69259.0,67626.0,72754.0,27039.0,61558.71428571428,57989.28571428572,55180.96428571428,17666.846810851537,15773.898959154863,0.0,0.0,-34795.0
2013-03-10,BEVERAGES,78363.0,0,86322,92.05,0.0,0.0,6,3,10,10,1,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,68,78980.0,87516.0,77335.0,52689.0,82854.0,-617.0,60450.71428571428,58683.642857142855,55586.46428571428,15988.103334607742,16505.151478377178,0.0,0.0,-8536.0
2013-03-11,BEVERAGES,50501.0,0,75161,92.07,0.0,0.0,0,3,11,11,1,0.0,1.0,1.0,6.123233995736766e-17,69,78363.0,55912.0,48718.0,47522.0,50195.0,-27862.0,59143.142857142855,58757.07142857143,56503.392857142855,13601.89188346694,16596.544633258356,0.0,0.0,22451.0
2013-03-12,BEVERAGES,42810.0,0,69346,92.44,0.0,0.0,1,3,11,12,1,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,70,50501.0,51642.0,41366.0,47483.0,46604.0,-7691.0,58370.142857142855,58884.42857142857,56609.78571428572,13965.030271223564,16520.24748703746,0.0,0.0,-1141.0
