family,feature,importance
BEVERAGES,day_of_week,0.33855835
BEVERAGES,dow_sin,0.18769316
BEVERAGES,dow_cos,0.1488462
BEVERAGES,month,0.12584443
BEVERAGES,lag_1,0.06623667
BEVERAGES,rolling_std_7,0.033827726
BEVERAGES,transactions,0.030277696
BEVERAGES,week_of_year,0.010677956
BEVERAGES,lag_7,0.008495937
BEVERAGES,time_index,0.007476456
BEVERAGES,rolling_std_14,0.0063219285
BEVERAGES,holiday_count,0.0061230967
BEVERAGES,day_of_month,0.005016191
BEVERAGES,rolling_mean_28,0.004363845
BEVERAGES,rolling_mean_7,0.0038098753
BEVERAGES,rolling_mean_14,0.0030095847
BEVERAGES,oil_price,0.0029110655
BEVERAGES,lag_56,0.0023167501
BEVERAGES,month_sin,0.0021966614
BEVERAGES,lag_28,0.001584077
BEVERAGES,is_holiday,0.001546818
BEVERAGES,lag_14,0.0013930593
BEVERAGES,month_cos,0.0012778678
BEVERAGES,quarter,0.00019451449
BEVERAGES,promo_count,0.0
BEVERAGES,promo_lag_1,0.0
BEVERAGES,promo_lag_7,0.0
GROCERY I,day_of_week,0.2707873
GROCERY I,dow_sin,0.26733392
GROCERY I,lag_1,0.096408434
GROCERY I,month,0.08305776
GROCERY I,transactions,0.051705513
GROCERY I,dow_cos,0.03784765
GROCERY I,holiday_count,0.029190587
GROCERY I,time_index,0.023721378
GROCERY I,day_of_month,0.023187695
GROCERY I,quarter,0.021570379
GROCERY I,is_holiday,0.014636969
GROCERY I,week_of_year,0.013973924
GROCERY I,rolling_std_7,0.009065143
GROCERY I,lag_28,0.008949981
GROCERY I,rolling_mean_7,0.008794873
GROCERY I,lag_14,0.007407989
GROCERY I,oil_price,0.0072240694
GROCERY I,lag_7,0.0049615824
GROCERY I,lag_56,0.0046512354
GROCERY I,rolling_std_14,0.004603863
GROCERY I,rolling_mean_14,0.0034649328
GROCERY I,month_cos,0.002778175
GROCERY I,month_sin,0.0027247132
GROCERY I,rolling_mean_28,0.0019519413
GROCERY I,promo_count,0.0
GROCERY I,promo_lag_1,0.0
GROCERY I,promo_lag_7,0.0
PRODUCE,time_index,0.18918858
PRODUCE,lag_1,0.12128163
PRODUCE,quarter,0.088705644
PRODUCE,lag_7,0.083801724
PRODUCE,week_of_year,0.08349419
PRODUCE,dow_cos,0.07977754
PRODUCE,month,0.072823495
PRODUCE,oil_price,0.061249595
PRODUCE,day_of_month,0.04441049
PRODUCE,rolling_mean_7,0.0403433
PRODUCE,day_of_week,0.030903913
PRODUCE,rolling_std_7,0.024504887
PRODUCE,dow_sin,0.017576233
PRODUCE,transactions,0.017396733
PRODUCE,rolling_mean_14,0.017069131
PRODUCE,lag_56,0.014258546
PRODUCE,lag_14,0.009925814
PRODUCE,rolling_std_14,0.0022022258
PRODUCE,lag_28,0.0006701762
PRODUCE,is_holiday,0.0002448963
PRODUCE,holiday_count,0.000153275
PRODUCE,rolling_mean_28,1.1261713e-05
PRODUCE,month_cos,5.267577e-06
PRODUCE,month_sin,1.5305695e-06
PRODUCE,promo_count,0.0
PRODUCE,promo_lag_1,0.0
PRODUCE,promo_lag_7,0.0
